bin,python,vulkan,diff,rel_diff
0,1.6054980575e-17,5.1371300000e-06,-5.1371300000e-06,-5.1370475248e+06
1,9.5135646294e-04,8.9227900000e-04,5.9077462939e-05,6.2098135850e-02
2,7.5790423256e-04,7.1854800000e-04,3.9356232555e-05,5.1927711725e-02
3,3.1445570168e-04,3.0044000000e-04,1.4015701676e-05,4.4571307046e-02
4,8.0039614531e-04,8.0039300000e-04,3.1453145402e-09,3.9296972564e-06
5,5.2422592893e-05,6.9307800000e-05,-1.6885207107e-05,-3.2209789430e-01
6,7.8755495206e-04,7.3986600000e-04,4.7688952065e-05,6.0553173946e-02
7,3.6049468740e-04,3.5661700000e-04,3.8776874008e-06,1.0756572914e-02
8,8.9067349560e-04,8.1868900000e-04,7.1984495596e-05,8.0820295957e-02
9,1.0440088594e-03,1.0439600000e-03,4.8859396710e-08,4.6799791231e-05
10,2.0316839763e-04,1.9469500000e-04,8.4733976322e-06,4.1706277596e-02
11,9.5243582662e-04,9.1608600000e-04,3.6349826624e-05,3.8165118919e-02
12,4.9156833183e-05,6.4729200000e-05,-1.5572366817e-05,-3.1678945716e-01
13,9.5779774273e-04,9.0201600000e-04,5.5781742726e-05,5.8239584601e-02
14,2.4146882031e-04,2.4059600000e-04,8.7282030753e-07,3.6146294284e-03
15,1.1454597853e-03,1.0769900000e-03,6.8469785284e-05,5.9774935885e-02
16,8.1866645885e-04,8.1862400000e-04,4.2458846765e-08,5.1863425274e-05
17,6.6298164872e-04,6.6293600000e-04,4.5648724997e-08,6.8853677950e-05
18,5.6579216248e-04,5.5872300000e-04,7.0691624805e-06,1.2494274288e-02
19,1.0179093937e-03,1.0178600000e-03,4.9393733980e-08,4.8524686220e-05
20,1.1257112767e-03,1.1256700000e-03,4.1276709257e-08,3.6667225490e-05
21,5.4505755909e-04,5.2436600000e-04,2.0691559085e-05,3.7962154092e-02
22,7.4142261407e-04,7.2943500000e-04,1.1987614072e-05,1.6168395498e-02
23,1.0038684169e-03,9.2644800000e-04,7.7420416852e-05,7.7122076435e-02
24,1.2065531676e-03,1.1465200000e-03,6.0033167646e-05,4.9755923904e-02
25,5.9919560116e-04,5.7840000000e-04,2.0795601163e-05,3.4705864142e-02
26,7.3444604075e-04,7.3440400000e-04,4.2040749221e-08,5.7241440258e-05
27,1.1889849515e-03,1.1093600000e-03,7.9624951480e-05,6.6968847094e-02
28,1.1074494433e-03,1.0597000000e-03,4.7749443284e-05,4.3116589683e-02
29,8.7557213941e-04,8.7556100000e-04,1.1139412564e-08,1.2722438335e-05
30,5.0575815550e-04,5.0573200000e-04,2.6155498305e-08,5.1715425582e-05
31,1.4637523626e-03,1.4637200000e-03,3.2362564609e-08,2.2109316722e-05
32,5.4498898801e-04,5.4060200000e-04,4.3869880138e-06,8.0496819244e-03
33,1.3518493621e-03,1.3518100000e-03,3.9362109019e-08,2.9117230139e-05
34,1.3169605758e-05,1.3166000000e-05,3.6057578378e-09,2.7379388801e-04
35,1.3867896061e-03,1.3867700000e-03,1.9606146277e-08,1.4137794353e-05
